Study-obejct,Files,Methods,Files,Methods,LevenDistance
10,42,main.txt-10,45,_get_result.txt,68,
10,42,main.txt-10,06,sup.txt,89,
10,42,main.txt-10,97,main.txt,39,
10,42,main.txt-10,19,main.txt,53,
10,42,main.txt-10,89,main.txt,48,
10,42,main.txt-10,36,main.txt,34,
10,42,main.txt-10,80,main.txt,51,
10,42,main.txt-10,84,main.txt,41,
10,42,main.txt-10,18,main.txt,50,
10,42,main.txt-10,93,main.txt,48,
10,42,main.txt-10,20,main.txt,60,
10,42,main.txt-10,28,main.txt,58,
10,42,main.txt-10,57,main.txt,38,
10,42,main.txt-10,61,initarreglos.txt,82,
10,42,main.txt-10,06,nor.txt,87,
10,51,main.txt-10,45,main.txt,61,
10,51,main.txt-10,09,main.txt,51,
10,51,main.txt-10,72,main.txt,42,
10,51,main.txt-10,60,culculate.txt,61,
10,51,main.txt-10,11,score_breakup.txt,78,
10,51,main.txt-10,60,output.txt,81,
10,51,main.txt-10,76,main.txt,41,
10,51,main.txt-10,79,main.txt,41,
10,51,main.txt-10,85,main.txt,58,
10,51,main.txt-10,06,main.txt,47,
10,51,main.txt-10,32,main.txt,29,
10,51,main.txt-10,45,_get_result.txt,57,
10,51,main.txt-10,06,sup.txt,87,
10,51,main.txt-10,97,main.txt,34,
10,51,main.txt-10,19,main.txt,38,
10,51,main.txt-10,89,main.txt,40,
10,51,main.txt-10,36,main.txt,30,
10,51,main.txt-10,80,main.txt,35,
10,51,main.txt-10,84,main.txt,28,
10,51,main.txt-10,18,main.txt,32,
10,51,main.txt-10,93,main.txt,39,
10,51,main.txt-10,20,main.txt,55,
10,51,main.txt-10,28,main.txt,51,
10,51,main.txt-10,57,main.txt,28,
10,51,main.txt-10,61,initarreglos.txt,78,
10,51,main.txt-10,06,nor.txt,84,
10,51,main.txt-10,42,main.txt,41,
10,74,main.txt-10,45,main.txt,51,
10,74,main.txt-10,09,main.txt,67,
10,74,main.txt-10,72,main.txt,33,
10,74,main.txt-10,60,culculate.txt,46,
10,74,main.txt-10,11,score_breakup.txt,70,
10,74,main.txt-10,60,output.txt,75,
10,74,main.txt-10,76,main.txt,39,
10,74,main.txt-10,79,main.txt,32,
10,74,main.txt-10,85,main.txt,72,
10,74,main.txt-10,06,main.txt,39,
10,74,main.txt-10,32,main.txt,45,
10,74,main.txt-10,45,_get_result.txt,49,
10,74,main.txt-10,06,sup.txt,82,
10,74,main.txt-10,97,main.txt,39,
10,74,main.txt-10,19,main.txt,27,
10,74,main.txt-10,89,main.txt,32,
10,74,main.txt-10,36,main.txt,41,
10,74,main.txt-10,80,main.txt,28,
10,74,main.txt-10,84,main.txt,47,
10,74,main.txt-10,18,main.txt,52,
10,74,main.txt-10,93,main.txt,58,
10,74,main.txt-10,20,main.txt,60,
10,74,main.txt-10,28,main.txt,53,
10,74,main.txt-10,57,main.txt,40,
10,74,main.txt-10,61,initarreglos.txt,72,
