Study-object,Files,Method,Files,Method,LevenDistance
1,40,main.txt-1,94,main.txt,90
1,40,main.txt-1,80,gcd.txt,88
1,40,main.txt-1,12,gcd.txt,90
1,40,main.txt-1,67,main.txt,48
1,40,main.txt-1,57,main.txt,60
1,40,main.txt-1,50,main.txt,54
1,40,main.txt-1,46,ispot2.txt,84
1,40,main.txt-1,12,main.txt,62
1,40,main.txt-1,41,betterpower.txt,85
1,40,main.txt-1,24,euclid.txt,88
1,40,main.txt-1,33,gen.txt,79
1,40,main.txt-1,64,t.txt,80
1,40,main.txt-1,45,ispow2.txt,83
1,40,main.txt-1,41,main.txt,39
1,40,main.txt-1,27,desc.txt,90
1,94,read.txt-1,9,shortest.txt,71
1,94,read.txt-1,47,check.txt,65
1,94,read.txt-1,30,main.txt,64
1,94,read.txt-1,98,main.txt,61
1,94,read.txt-1,17,gcd.txt,73
1,94,read.txt-1,34,main.txt,57
1,94,read.txt-1,65,main.txt,52
1,94,read.txt-1,66,main.txt,48
1,94,read.txt-1,38,g.txt,69
1,94,read.txt-1,80,main.txt,59
1,94,read.txt-1,75,powr.txt,67
1,94,read.txt-1,11,main.txt,54
1,94,read.txt-1,94,main.txt,78
1,94,read.txt-1,80,gcd.txt,63
1,94,read.txt-1,12,gcd.txt,73
1,94,read.txt-1,67,main.txt,61
1,94,read.txt-1,57,main.txt,55
1,94,read.txt-1,50,main.txt,62
1,94,read.txt-1,46,ispot2.txt,65
1,94,read.txt-1,12,main.txt,55
1,94,read.txt-1,41,betterpower.txt,61
1,94,read.txt-1,24,euclid.txt,75
1,94,read.txt-1,33,gen.txt,62
1,94,read.txt-1,64,t.txt,66
1,94,read.txt-1,45,ispow2.txt,64
1,94,read.txt-1,41,main.txt,65
1,94,read.txt-1,27,desc.txt,69
1,94,read.txt-1,40,main.txt,73
1,23,main.txt-1,9,shortest.txt,76
1,23,main.txt-1,47,check.txt,68
1,23,main.txt-1,30,main.txt,48
1,23,main.txt-1,98,main.txt,44
1,23,main.txt-1,17,gcd.txt,79
